Database_ID,Names Of Databses
e1000020-1,ACM Computing Surveys (CSUR)
e1000020-2,ACM Inroads
e1000020-3,ACM Journal on Emerging Technologies in Computing Systems (JETC)
e1000020-4,ACM Letters on Programming Languages and Systems (LOPLAS)
e1000020-5,ACM SIGACCESS Accessibility and Computing
e1000020-6,ACM SIGACT News
e1000020-7,ACM SIGAda Ada Letters
e1000020-8,ACM SIGAPL APL Quote Quad
e1000020-9,ACM SIGARCH Computer Architecture News
e1000020-10,ACM SIGART Bulletin
e1000020-11,ACM SIGBED Review
e1000020-12,ACM SIGBIO Newsletter
e1000020-13,ACM SIGBioinformatics Record
e1000020-14,ACM SIGCAPH Computers and the Physically Handicapped
e1000020-15,ACM SIGCAS Computers and Society
e1000020-16,ACM SIGCHI Bulletin
e1000020-17,ACM SIGCHI Bulletin - a supplement to <i>interactions</i>
e1000020-18,ACM SIGCOMM Computer Communication Review
e1000020-19,ACM SIGCPR Computer Personnel
e1000020-20,ACM SIGCSE Bulletin
e1000020-21,ACM SIGCSIM Installation Management Review
e1000020-22,ACM SIGDA Newsletter
e1000020-23,ACM SIGDOC Asterisk Journal of Computer Documentation
e1000020-24,ACM SIGecom Exchanges
e1000020-25,ACM SIGEVOlution
e1000020-26,ACM SIGGRAPH Computer Graphics
e1000020-27,ACM SIGGROUP Bulletin
e1000020-28,ACM SIGHIT Record
e1000020-29,ACM SIGIR Forum
e1000020-30,ACM SIGKDD Explorations Newsletter
e1000020-31,ACM SIGMETRICS Performance Evaluation Review
e1000020-32,ACM SIGMICRO Newsletter
e1000020-33,ACM SIGMIS Database
e1000020-34,ACM SIGMOBILE Mobile Computing and Communications Review
e1000020-35,ACM SIGMOD Record
e1000020-36,ACM SIGOA Newsletter
e1000020-37,ACM SIGOIS Bulletin
e1000020-38,ACM SIGOPS Operating Systems Review
e1000020-39,ACM SIGPLAN Notices
e1000020-40,ACM SIGPLAN Notices
e1000020-41,ACM SIGSAC Review
e1000020-42,ACM SIGSAM Bulletin
e1000020-43,ACM SIGSOFT Software Engineering Notes
e1000020-44,ACM Transactions on Accessible Computing (TACCESS)
e1000020-45,ACM Transactions on Algorithms (TALG)
e1000020-46,ACM Transactions on Applied Perception (TAP)
e1000020-47,ACM Transactions on Architecture and Code Optimization (TACO)
e1000020-48,ACM Transactions on Asian Language Information Processing (TALIP)
e1000020-49,ACM Transactions on Computation Theory (TOCT)
e1000020-50,ACM Transactions on Computer Systems (TOCS)
e1000020-51,ACM Transactions on Computer-Human Interaction (TOCHI)
e1000020-52,ACM Transactions on Computing Education (TOCE)
e1000020-53,ACM Transactions on Database Systems (TODS)
e1000020-54,ACM Transactions on Design Automation of Electronic Systems (TODAES)
e1000020-55,ACM Transactions on Embedded Computing Systems (TECS)
e1000020-56,ACM Transactions on Graphics (TOG)
e1000020-57,ACM Transactions on Information and System Security (TISSEC)
e1000020-58,ACM Transactions on Information Systems (TOIS)
e1000020-59,ACM Transactions on Intelligent Systems and Technology (TIST)
e1000020-60,ACM Transactions on Interactive Intelligent Systems (TiiS)
e1000020-61,ACM Transactions on Internet Technology (TOIT)
e1000020-62,ACM Transactions on Knowledge Discovery from Data (TKDD)
e1000020-63,ACM Transactions on Mathematical Software (TOMS)
e1000020-64,ACM Transactions on Modeling and Computer Simulation (TOMACS)
e1000020-65,"ACM Transactions on Multimedia Computing, Communications, and Applications (TOMCCAP)"
e1000020-66,ACM Transactions on Programming Languages and Systems (TOPLAS)
e1000020-67,ACM Transactions on Reconfigurable Technology and Systems (TRETS)
e1000020-68,ACM Transactions on Sensor Networks (TOSN)
e1000020-69,ACM Transactions on Software Engineering and Methodology (TOSEM)
e1000020-70,ACM Transactions on Speech and Language Processing (TSLP)
e1000020-71,ACM Transactions on Storage (TOS)
e1000020-72,ACM Transactions on the Web (TWEB)
e1000020-73,Advances in Multimedia
e1000020-74,Australian Computer Science Communications
e1000020-75,Communications of the ACM
e1000020-76,Communications of the AIS
e1000020-77,Computational Intelligence and Neuroscience
e1000020-78,Computational Linguistics
e1000020-79,Computers in Entertainment (CIE)
e1000020-80,Crossroads
e1000020-81,eLearn
e1000020-82,EURASIP Journal on Advances in Signal Processing
e1000020-83,EURASIP Journal on Applied Signal Processing
e1000020-84,EURASIP Journal on Wireless Communications and Networking
e1000020-85,Evolutionary Computation
e1000020-86,Human-Computer Interaction
e1000020-87,IEEE/ACM Transactions on Computational Biology and Bioinformatics (TCBB)
e1000020-88,IEEE/ACM Transactions on Networking (TON)
e1000020-89,interactions
e1000020-90,International Journal of Computer Games Technology
e1000020-91,International Journal of Telemedicine and Applications
e1000020-92,Journal of Computing Sciences in Colleges
e1000020-93,Journal of Data and Information Quality (JDIQ)
e1000020-94,Journal of Experimental Algorithmics (JEA)
e1000020-95,Journal of the ACM (JACM)
e1000020-96,Journal of Usability Studies
e1000020-97,Journal on Computing and Cultural Heritage (JOCCH)
e1000020-98,Journal on Educational Resources in Computing (JERIC)
e1000020-99,Journal on Image and Video Processing
e1000020-100,Linux Journal
e1000020-101,MIS Quarterly
e1000020-102,Mobile Networks and Applications
e1000020-103,Mobile Networks and Applications
e1000020-104,netWorker
e1000020-105,Personal and Ubiquitous Computing
e1000020-106,Proceedings of the VLDB Endowment
e1000020-107,Queue
e1000020-108,SIGSPATIAL Special
e1000020-109,The Journal of Machine Learning Research
e1000020-110,The VLDB Journal &#8212; The International Journal on Very Large Data Bases
e1000020-111,Ubiquity
e1000020-112,Wireless Networks
e1000020-113,Wireless Networks
e1000020-114,"XRDS: Crossroads, The ACM Magazine for Students"
