ts_ID,D_ID,V_ID,DB_Name,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
2012,e1000020A,e1000020,ACM,1784,1247,2097,2860,1470,0,0,0,0,0,0,0
2011,e1000020A,e1000020,ACM,5187,2325,2260,2217,1166,810,435,360,2874,2239,1376,1294
2010,e1000020A,e1000020,ACM,3711,2670,2398,3398,2533,1102,1063,929,3608,4509,2997,2869
2009,e1000020A,e1000020,ACM,4125,3504,2986,4533,3777,1013,1368,961,3422,4341,2554,2472
2008,e1000020A,e1000020,ACM,2981,2996,2454,4643,3653,995,1306,929,3452,3956,2083,3158
2007,e1000020A,e1000020,ACM,3634,3898,1998,4425,4417,813,816,803,4076,5629,2788,2445
2006,e1000020A,e1000020,ACM,2253,2176,1612,4089,2908,1233,794,605,2517,4130,1744,1799
2012,e1000045A,e1000045,African American Electorate Online Edition,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045B,e1000045,Cities in American History Online Edition,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045C,e1000045,Congressional Staff Directory,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045D,e1000045,CQ Almanac Online Edition,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045E,e1000045,CQ California Political Almanac,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045F,e1000045,CQ Congress,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045G,e1000045,CQ Congress and the Nation Online Edition,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045H,e1000045,CQ EAG,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045J,e1000045,CQ Elections,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045K,e1000045,CQ Encyclopedia of Politics and Religion Online Edition,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045L,e1000045,CQ Encyclopedia of the First Amendment Online Edition,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045M,e1000045,CQ Encyclopedia of U.S. Political History,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045N,e1000045,CQ Encyclopedia of United States Indian Policy and Law Online Edition,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045O,e1000045,CQ Global Researcher Archive,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045P,e1000045,CQ Historic Documents Series Online Edition,0,0,0,0,0,0,0,0,0,0,0,0
2012,e1000045Q,e1000045,CQ PAC,0,0,0,0,0,0,0,0,0,0,0,0
