e1000020,ACM 
e1000027,CSA 
e1000043,ei.org 
e1000035,ERL 
e1000021,ACS publication 
e1000227,Proquest 
e1000226,OCLC 
e1000065,LexisNexis 
e1000116,EBSCO 
e1000059,Oxford university press 
e1000074,Standard and Poors 
e1000119,Scitation 
e1000209,Springer 
e1000229,SAGE journals 
e1000045,CQ press 
e1000032,books 24x7 
e1000076,GALE admin 
e1000132,Emerald 
e1000084,Safari 
e1000216,Credo Reference 
e1000205,Access Medicine 
e1000018,BioOne 
e1000052,Elsevier 1
e1000228,AEAweb 
e1000062,JSTOR 
e1000241, IOP publishing 
e1000185,WEB OF KNOWLEDGE 
e1000048,ebrary 
e1000316,Gale Admin 
e1000056,Factiva 
e1000294,IOP publishing 
