TimestampID,v_ID,Jan,Feb,Mar,April,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total Full Text
ts_2012,e1000020,651,607,583,950,553,,,,,,,,3344
ts_2011,e1000020,1287,668,1251,1055,412,250,146,173,699,708,422,694,7765
ts_2010,e1000020,1590,957,972,1131,619,332,208,197,846,916,568,731,9067
ts_2009,e1000020,1417,1033,924,1271,795,328,441,462,887,1371,772,1116,10817
ts_2008,e1000020,76,53,131,99,72,22,36,24,71,113,37,73,807
ts_2007,e1000020,115,85,76,121,111,42,16,30,89,129,77,40,931
ts_2006,e1000020,85,120,95,133,86,38,80,21,56,188,56,51,1009
ts_2005,e1000020,0,0,0,0,0,,51,19,80,95,37,43,325
ts_2008,e1000021,1233,737,574,491,340,354,411,265,486,1088,265,0,6244
ts_2007,e1000021,529,452,397,700,506,284,316,304,454,663,612,435,5652
ts_2006,e1000021,551,610,446,407,408,378,349,294,554,555,382,245,5179
ts_2005,e1000021,343,421,528,505,436,344,308,844,372,574,551,446,5672
ts_2004,e1000021,287,361,291,367,236,373,279,374,364,396,317,295,3940
ts_2003,e1000021,456,345,241,270,339,412,332,182,202,337,209,201,3526
ts_2002,e1000021,0,0,0,0,0,0,0,0,0,0,398,390,788
ts_2009,e1000018,83,0,0,0,0,0,0,0,0,0,0,0,83
ts_2008,e1000018,54,50,171,114,75,40,56,14,70,109,48,73,874
ts_2007,e1000018,302,170,149,159,185,45,89,18,75,167,63,83,1505
ts_2006,e1000018,129,196,33,116,99,52,15,12,73,190,120,180,1215
ts_2005,e1000018,109,134,56,106,109,26,38,27,92,177,66,67,1007
ts_2004,e1000018,178,237,155,257,60,17,42,27,144,223,169,72,1581
ts_2003,e1000018,0,0,0,0,0,0,0,0,0,0,199,73,272
ts_2012,e1000045,109,413,14,288,179,13,0,0,0,0,0,0,1016
ts_2011,e1000045,0,0,0,0,0,0,40,48,69,544,422,56,1179
ts_2012,e1000216,415,419,168,321,77,104,,,,,,,1504
ts_2011,e1000216,248,302,139,269,103,45,97,23,97,663,195,94,2275
ts_2010,e1000216,234,323,157,314,274,39,26,83,160,286,200,109,2205
ts_2009,e1000216,3633,330,197,355,109,65,79,33,88,228,196,137,5450
ts_2012,e1000076,364,633,69,473,401,0,0,0,0,0,0,0,1940
ts_2012,e1000294,115,189,315,281,229,0,0,0,0,0,0,0,1129
ts_2011,e1000294,84,112,60,33,45,88,73,39,64,126,73,62,859
ts_2010,e1000294,47,31,43,67,71,35,76,36,90,69,62,58,685
ts_2009,e1000294,67,97,65,51,34,64,45,59,36,58,27,27,630
ts_2008,e1000294,40,71,32,86,47,38,41,17,37,94,53,15,571
ts_2012,e1000227,16468,22168,19322,25612,20106,4934,0,0,0,0,0,0,108610
ts_2011,e1000227,87,200,8,235,338,18,22,521,15203,23504,12732,8483,61351
ts_2010,e1000227,0,0,0,0,0,0,0,0,0,0,91,0,91
ts_2012,e1000119,9,8,3,5,1,0,0,0,0,0,0,0,26
ts_2011,e1000119,35,21,23,10,5,15,11,8,5,7,10,7,157
ts_2010,e1000119,12,9,5,10,7,10,11,5,21,6,9,37,142
ts_2009,e1000119,5,5,22,1,7,5,5,25,7,14,16,11,123
ts_2008,e1000119,8,1,6,23,12,2,2,8,8,6,7,3,86
ts_2007,e1000119,1,20,128,1,9,1,11,6,1,16,8,7,209
ts_2006,e1000119,0,0,0,0,0,0,0,4,0,2,1,5,12
